timestamp,model,input_tokens,output_tokens,cost_eur,latency_seconds
2025-11-24T15:39:26.327592+00:00,text-embedding-3-small,150,0,0.000003,18.248
2025-11-24T15:39:44.631021+00:00,text-embedding-3-small,150,0,0.000003,0.325
2025-11-24T15:39:45.008046+00:00,text-embedding-3-small,130,0,0.000003,0.625
2025-11-24T15:39:45.998513+00:00,text-embedding-3-small,10,0,0.000000,0.945
2025-11-24T15:39:47.057431+00:00,text-embedding-3-small,150,0,0.000003,0.394
2025-11-24T15:39:47.798337+00:00,text-embedding-3-small,150,0,0.000003,0.400
2025-11-24T15:39:48.253848+00:00,text-embedding-3-small,91,0,0.000002,0.315
2025-11-24T15:39:48.770487+00:00,text-embedding-3-small,150,0,0.000003,0.644
2025-11-24T15:39:49.555944+00:00,text-embedding-3-small,150,0,0.000003,0.624
2025-11-24T15:39:50.243483+00:00,text-embedding-3-small,70,0,0.000001,0.588
2025-11-24T15:39:51.025385+00:00,text-embedding-3-small,150,0,0.000003,0.419
2025-11-24T15:39:51.492532+00:00,text-embedding-3-small,150,0,0.000003,0.384
2025-11-24T15:39:51.959965+00:00,text-embedding-3-small,72,0,0.000001,0.385
2025-11-24T15:39:52.555103+00:00,text-embedding-3-small,150,0,0.000003,0.473
2025-11-24T15:39:53.267225+00:00,text-embedding-3-small,150,0,0.000003,1.078
2025-11-24T15:39:54.404399+00:00,text-embedding-3-small,97,0,0.000002,0.299
2025-11-24T15:39:54.857805+00:00,text-embedding-3-small,150,0,0.000003,0.406
2025-11-24T15:39:55.323488+00:00,text-embedding-3-small,150,0,0.000003,0.477
2025-11-24T15:39:55.843198+00:00,text-embedding-3-small,125,0,0.000003,0.397
2025-11-24T15:39:56.297836+00:00,text-embedding-3-small,5,0,0.000000,0.446
2025-11-24T15:39:56.970633+00:00,text-embedding-3-small,150,0,0.000003,0.375
2025-11-24T15:39:57.417059+00:00,text-embedding-3-small,150,0,0.000003,0.834
2025-11-24T15:39:58.298054+00:00,text-embedding-3-small,112,0,0.000002,0.347
2025-11-24T15:39:58.770032+00:00,text-embedding-3-small,150,0,0.000003,0.373
2025-11-24T15:39:59.172801+00:00,text-embedding-3-small,150,0,0.000003,0.376
2025-11-24T15:39:59.589202+00:00,text-embedding-3-small,85,0,0.000002,0.912
2025-11-24T15:40:01.529467+00:00,text-embedding-3-small,150,0,0.000003,0.384
2025-11-24T15:40:02.216754+00:00,text-embedding-3-small,150,0,0.000003,0.485
2025-11-24T15:40:02.853893+00:00,text-embedding-3-small,68,0,0.000001,0.438
2025-11-24T15:40:03.897022+00:00,text-embedding-3-small,150,0,0.000003,0.691
2025-11-24T15:40:04.681875+00:00,text-embedding-3-small,150,0,0.000003,0.430
2025-11-24T15:40:05.159486+00:00,text-embedding-3-small,63,0,0.000001,0.312
2025-11-24T15:40:05.788487+00:00,text-embedding-3-small,150,0,0.000003,0.409
2025-11-24T15:40:06.205885+00:00,text-embedding-3-small,150,0,0.000003,0.307
2025-11-24T15:40:06.790106+00:00,text-embedding-3-small,112,0,0.000002,0.461
2025-11-24T15:40:07.655337+00:00,text-embedding-3-small,150,0,0.000003,0.347
2025-11-24T15:41:13.775751+00:00,text-embedding-3-small,150,0,0.000003,19.283
2025-11-24T15:41:33.268351+00:00,text-embedding-3-small,150,0,0.000003,0.593
2025-11-24T15:41:33.926451+00:00,text-embedding-3-small,130,0,0.000003,0.386
2025-11-24T15:41:34.350728+00:00,text-embedding-3-small,10,0,0.000000,0.345
2025-11-24T15:43:31.121846+00:00,anthropic/claude-sonnet-4,471,79,0.002598,2.668
2025-11-24T15:43:33.856405+00:00,text-embedding-3-small,9,0,0.000000,0.294
2025-11-24T15:43:37.687504+00:00,anthropic/claude-sonnet-4,2041,228,0.009543,7.432
2025-11-24T15:43:45.200200+00:00,gpt-4o,701,244,0.004193,6.390
