timestamp,model,input_tokens,output_tokens,cost_eur,latency_seconds
2025-12-03T17:19:59.585564+00:00,anthropic/claude-sonnet-4,1999,156,0.008337,6.169
2025-12-03T17:20:19.547413+00:00,anthropic/claude-sonnet-4,7375,303,0.026670,11.254
2025-12-03T17:20:30.944426+00:00,gpt-4o,1897,258,0.007322,6.361
2025-12-03T17:21:25.561303+00:00,anthropic/claude-sonnet-4,1999,153,0.008292,5.020
2025-12-03T17:21:44.414053+00:00,anthropic/claude-sonnet-4,7453,386,0.028149,14.695
2025-12-03T17:21:59.211518+00:00,gpt-4o,1965,188,0.006792,4.059
2025-12-03T17:22:03.328454+00:00,anthropic/claude-sonnet-4,3254,339,0.014847,12.274
2025-12-03T17:22:15.677800+00:00,gpt-4o,1922,284,0.007645,8.043
2025-12-03T17:25:19.930580+00:00,anthropic/claude-sonnet-4,2067,131,0.008166,3.674
2025-12-03T17:25:37.561148+00:00,anthropic/claude-sonnet-4,7487,411,0.028626,14.816
2025-12-03T17:25:52.443802+00:00,gpt-4o,1988,245,0.007420,5.987
2025-12-03T17:27:47.681559+00:00,anthropic/claude-sonnet-4,2111,138,0.008403,5.343
2025-12-03T17:28:07.745366+00:00,anthropic/claude-sonnet-4,7509,501,0.030042,18.617
2025-12-03T17:28:26.446024+00:00,gpt-4o,2070,261,0.007785,5.952
2025-12-09T08:28:41.373257+00:00,anthropic/claude-sonnet-4,4079,134,0.014247,7.350
2025-12-09T08:29:03.569013+00:00,gpt-4o-mini,1241,77,0.000232,2.299
2025-12-09T08:29:10.366969+00:00,anthropic/claude-sonnet-4,10161,3391,0.081348,77.899
2025-12-09T08:30:28.338444+00:00,gpt-4o,4527,160,0.012918,3.992
2025-12-09T08:39:21.598802+00:00,anthropic/claude-sonnet-4,7959,129,0.025812,4.889
2025-12-09T08:39:40.077649+00:00,anthropic/claude-sonnet-4,10355,198,0.034035,8.106
2025-12-09T08:39:48.267924+00:00,gpt-4o,1814,238,0.006915,7.315
2025-12-09T08:42:43.784777+00:00,anthropic/claude-sonnet-4,3801,155,0.013728,5.161
2025-12-09T08:43:02.330640+00:00,gpt-4o-mini,1135,66,0.000210,1.938
2025-12-09T08:43:10.124967+00:00,anthropic/claude-sonnet-4,10247,2373,0.066336,65.366
2025-12-09T08:44:15.619757+00:00,gpt-4o,3717,230,0.011593,5.067
2025-12-09T08:45:29.264251+00:00,anthropic/claude-sonnet-4,5959,137,0.019932,4.892
2025-12-09T08:45:48.472068+00:00,anthropic/claude-sonnet-4,9355,206,0.031155,7.784
2025-12-09T08:45:56.454849+00:00,gpt-4o,1825,217,0.006732,5.590
